id	text	class
508461291028357120	'অামি জেনে শুনে বিষ করেছি পান,প্রেমের ওঅাশা ছেড়ে স্বপেছি প্রাণ,,,,'	BN_NEG
508649063303372800	'Photo: খুটাখালীতে হেডম্যান পুত্রকে গাছচোর সাজিয়ে আটক! সেলিম উদ্দিন, ঈদগাও:: কক্সবাজার উত্তর বন বিভাগের...'	BN_NEG
508630775596867584	'মঠবাড়িয়ায় পৌরশহরের পাকা সেতু বিধ্বস্তের দুই বছরেও নির্মিত হয়নি'	BN_NEG
508428788636459008	'দুটি পাবলিক পরীক্ষায়  এ+ পাওয়া সত্ত্বেও সবার স্বপ্নের ঢাকা ইউনিতে আমি পরীক্ষা দেই নি। এমনকি বুয়েটেও পরীক্ষা দেই... http:/t.co/iSmTpts00Y'	BN_NEG
508692808715091968	'রংপুর ও পাবনায় সড়ক দুর্ঘটনায় নিহত ৩:  http://t.co/VvAGJR3yL0'	BN_NEG
508593747958202368	'নদীতে আত্নহত্যার চেষ্টা, প্রেমিক মারা গেলেও সাঁতরে উঠলো প্রেমিকা http://t.co/9NkSclcmU0'	BN_NEG
508712000818384896	'জেএসসি ও সমাপনী পরীক্ষার্থীরা দুশ্চিন্তায়: বানের পানি কমিচ্চে কিন্তু স্কুলোত এখনও কাদা-পানি। হামাকেরে (আমাদের... http://t.co/Q9GUAYFi3E'	BN_NEG
508650751896195073	'তোমা ছাড়া আর এ জগতেমোর কেহ নাই কিছু নাই গোআমার ও পরান ও যাহা চায়'	BN_NEG
508642100972634112	'ভারতে আত্মহত্যার জন্য নদীতে ঝাঁপ : প্রেমিক মারা গেলেও বেঁচে গেছে প্রেমিকাআত্মহত্যার উদ্দেশ্যে নদীতে ঝাঁপ দিল...'	BN_NEG
508464630239596544	'শ্বেতার আগেও দেহব্যবসায় জড়িত সাত অভিনেত্রী http:/t.co/ejLBfPuOZA'	BN_NEG
508652868740452352	'গফরগাঁওয়ে পৌর কর্মচারী পরিষদের মানববন্ধ, থানা ঘেরাও:'	BN_NEG
508651645060657152	'আমি ভালোবাসি রাতের অন্ধকার ও বৃষ্টি কারণ এগুলো আমাকে দেয় সবার অলক্ষে নিজের দুঃখকে  চোখের জলে ঝরিয়ে ফেলার অবাধ...'	BN_NEG
508591845194997760	'বন্যায় গাইবান্ধার সুন্দরগঞ্জ, সাঘাটা, ফুলছড়ি ও সদর উপজেলার ৩০টি ইউনিয়নের ১৭ হাজার ৭৪টি ঘরবাড়ি এবং কৃষকের ৩ হাজার ৫ হেক্টর জমির'	BN_NEG
508580778649714688	'কয়েকটি ক্ষেত্রে অগ্রগতি হলেও #জাতিসংঘের বেঁধে দেয়া #উন্নয়ন #লক্ষ্যমাত্রা পূরণে #বাংলাদেশ দাতাদের কাছ থেকে... http://t.co/1skvojT2jc'	BN_NEG
508616690679447552	'স্থানীও খবরঃ মামলা-হামলা করে বিএনপির আন্দোলন স্তব্ধ করা যাবে না -আহসানুল তৈয়ব জাকির  http://t.co/5pjdgoN89D'	BN_NEG
508577191072772097	'তারেক মাসুদ ও মিশুক মুনীরের মামলার সাক্ষ্য গ্রহণ http://t.co/ZFa7SvFZZS'	BN_NEG
508711931859828736	'চার দিনেও গ্রেপ্তার নেই:  http://t.co/UKg8hKmY1u'	BN_NEG
508661691752534017	'এবার সংসদেও ঘুমালেন মন্ত্রী http://t.co/akIFL0kxRuLazy,indolent and corrupted ministers sleep too much.'	BN_NEG
508589796047192066	'এখন মাঝরাত,দুঃখী বালক কাঁদে।তবুও হাঁটছে দ্যাখো শীতার্ত পথে.'	BN_NEG
508567575257972736	'মাঝে মাঝে কষ্ট করে হলেওএকা একা চলা শিখতে হয়কারণ যাকে ছাড়া আপনি চলতে পারবেননা বা বাঁচতে পারবেন না ভাবছেনসে... http://t.co/Dz9FAhGsMK'	BN_NEG
508460623298957312	'ভারতীয় ও পাশ্চাত্য সংস্কৃতি ডুবিয়ে দিচ্ছে প্রিয় বাংলাদেশকেভারতীয় সংস্কৃতির আগ্রাসনে বিপর্যস্ত বাংলাদেশ। এ... http:/t.co/BKt2qcmi0f'	BN_NEG
508568457445535744	'পাবনায় মোটর সাইকেল ও ইঞ্জিনচালিত ভটভটির মুখোমুখি সংঘর্ষে নিহত এক আহত পাঁচ জন http://t.co/cABn58e20s'	BN_NEG
508586118791856129	'পুরান ঢাকার স্যার সলিমুল্লাহ মেডিক্যাল কলেজ ও মিটফোর্ড হাসপাতালের আন্দোলরত নার্সরা তাদের কর্মবিরতি প্রত্যাহার করে... http://t.co/bfHSI2kKdl'	BN_NEG
508611834493276160	'ভেড়ামারায় চাকুরী না করেও নিয়মিত বেতন উত্তোলন এক শিক্ষিকার http://t.co/VLwQIbpdKN'	BN_NEG
508571463633219584	'যুবদলের সভাপতি-সম্পাদকের বিচার শুরু: ঢাকা: পুলিশের কর্তব্যকাজে বাধা ও আইনশৃঙ্খলা বিঘ্নিত করার অপরাধে যুবদলের স... http://t.co/bnyRg2NdbS'	BN_NEG
